Question,Equation,Answer,Numbers
Maria has number0 boxes of eggs . Each box holds number1 eggs and there are number2 boxes in a case . How many eggs does Maria have ?,* number0 number1,21.0,3.0 7.0 8.0
"Sally found number0 seashells , Tom found number1 seashells , and Jessica found number2 seashells on the beach . How many seashells did they find together ?",+ + number0 number1 number2,21.0,9.0 7.0 5.0
"Kaleen filled a bucket with number0 of a gallon of water . A few minutes later , she realized only number1 of a gallon of water remained . How much water had leaked out of the bucket ?",- number0 number1,0.25,0.75 0.5
"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears . How many fleas perished ?",+ number0 number1,121.0,36.0 85.0
"A pet shelter had number0 puppies when another number1 were brought in . If number2 puppies a day are adopted , how long would it take for all of them to be adopted ?",/ + number0 number1 number2,2.0,3.0 3.0 3.0
"Henry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",/ + number1 number2 number0,9.0,9.0 29.0 52.0
Melanie grew number0 turnips . Benny grew number1 turnips . How many turnips did they grow in all ?,+ number0 number1,252,139.0 113.0
Mary found number0 seashells and Jessica found number1 seashells on the beach . How many seashells did they find together ?,+ number0 number1,59,18.0 41.0
The schools debate team had number0 boys and number1 girls on it . If they were split into groups of number2 how many groups could they make ?,/ + number0 number1 number2,8.0,11.0 45.0 7.0
"Isabel baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them how many packages could she make if she put number2 cupcake in each package ?",/ - number0 number1 number2,6.0,39.0 21.0 3.0
Kelly has number0 Nintendo games . How many does Kelly need to give away so that Kelly will have number1 games left ?,- number0 number1,99.0,121.0 22.0
"While taking inventory at her pastry shop , Kelly realizes that she had number0 of a box of baking powder yesterday , but the supply is now down to number1 of a box . How much more baking powder did Kelly have yesterday ?",- number0 number1,0.1,0.4 0.3
A bee has number0 legs . How many legs do number1 bees have ?,* number0 number1,48.0,6.0 8.0
Lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon . How many shells did he pick up in all ?,+ number0 number1,616.0,292.0 324.0
Alyssa picked number0 pears and Nancy picked number1 pears from the pear tree . How many pears were picked in all ?,+ number0 number1,59.0,42.0 17.0
You have number0 balloons and your friend has number1 balloons . How many more balloons do you have than your friend ?,- number0 number1,2.0,7.0 5.0
There are number0 bananas in a pile on the desk . Each banana comes in a package of number1 . number2 bananas are added to the pile . How many bananas are there in the pile ?,+ number0 number2,9.0,2.0 13.0 7.0
Kyle jogged number0 laps in P.E. class and number1 laps during track practice . How many laps did Kyle jog in all ?,+ number0 number1,3.25,1.125 2.125
Nancy uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums . How many pictures were in each album ?,/ - number0 number1 number2,2.0,41.0 37.0 2.0
Kevin starts with number0 cards . He finds another number1 . How many cards does Kevin end with ?,+ number0 number1,54.0,7.0 47.0
Mary had number0 dimes and number1 pennies in her bank . Her dad borrowed number2 pennies from Mary . How many pennies does she have now ?,- number1 number2,20,21.0 38.0 18.0
"In Mr. Olsen 's mathematics class , number0 of the students received A 's and number1 received B 's . What fraction of the students received either A 's or B 's ?",+ number0 number1,0.9,0.7 0.2
"Bianca 's team won their dodgeball game and scored number0 points total . If Bianca scored number1 of the points and everyone else scored number2 points each , how many players were on her team ?",/ - number0 number1 number2,5.0,75.0 45.0 6.0
"Tom bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Tom still have ?",* number2 - number0 number1,30.0,12.0 7.0 6.0
William has number0 marbles . He shares number1 with Theresa . How many marbles will William have ?,- number0 number1,7.0,10.0 3.0
Paul had number0 strawberries in his basket . He picked number1 more strawberries . How many strawberries did he have then ?,+ number0 number1,120.0,42.0 78.0
Elizabeth went to the salon and had number0 of an inch of hair cut off . The next day she went back and asked for another number1 of an inch to be cut off . How much hair did she have cut off in all ?,+ number0 number1,0.875,0.375 0.5
I have a pet golden retriever . Each year he gains number0 pounds . He is number1 years old . How many pounds does he weigh ?,* number0 number1,88.0,11.0 8.0
"Oliver had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",- + number0 number1 number2,66.0,39.0 47.0 20.0
"Billy was putting his spare change into piles . He had number0 piles of quarters and number1 piles of dimes . If each pile had number2 coins in it , how many coins did he have total ?",* number2 + number0 number1,20.0,2.0 3.0 4.0
Hannah 's Vegetarian Restaurant bought number0 of a pound of green peppers and number1 of a pound of red peppers . How many pounds of peppers did Hannah 's Vegetarian Restaurant buy in all ?,+ number0 number1,0.6666666666666666,0.3333333333333333 0.3333333333333333
"Paul was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",* number2 + number0 number1,72.0,6.0 3.0 8.0
"At a pie - eating contest , Erik got through number0 of a pie before time was called ; Frank finished just number1 of a pie . How much more pie did Erik eat than Frank ?",- number0 number1,0.3333333333333333,0.6666666666666666 0.3333333333333333
"Peter has number0 candies stored in boxes . If there are number1 boxes , how many candies must go in each box ?",/ number0 number1,1.0,3.0 3.0
Katie had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Katie end up with ?,/ - number0 number1 number2,9.0,85.0 40.0 5.0
