Question,Equation,Answer,Numbers
tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds how many pairs does he have in total ?,* number0 number1,203.0,29.0 7.0
Iesha has number0 books . number1 are about school and the rest are about sports . How many books about sports does Iesha have ?,- number0 number1,208.0,344.0 136.0
"Robin was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies , how many baggies could she make ?",/ + number1 number2 number0,8.0,6.0 23.0 25.0
"While on vacation , Rachel took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",- + number0 number1 number2,4.0,6.0 9.0 11.0
Connie had some marbles . She gave number0 to Juan . Now she has number1 marbles left . How many did she have to start with ?,+ number0 number1,776.0,183.0 593.0
There are number0 bananas in a pile on the desk . Each banana comes in a package of number1 . number2 bananas are added to the pile . How many bananas are there in the pile ?,+ number0 number2,9.0,2.0 13.0 7.0
Jose starts with number0 bottle caps . He gets number1 more from Rebecca . How many bottle caps does Jose end with ?,+ number0 number1,9.0,7.0 2.0
For the school bake sale Paige made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,- + number0 number1 number2,41.0,36.0 9.0 4.0
a mailman had to give number0 pieces of junk mail and number1 magazines to a house . how many pieces of mail did he deliver total ?,+ number0 number1,11.0,6.0 5.0
Jason grew number0 watermelons and number1 turnips . Nancy grew number2 watermelons . How many watermelons did they grow in total ?,+ number0 number2,51,23.0 18.0 28.0
Nancy grew number0 potatoes . Sandy grew number1 potatoes . How many potatoes did they grow in total ?,+ number0 number1,13.0,6.0 7.0
"Paul was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",* + number0 number1 number2,72.0,6.0 3.0 8.0
dan 's high school played number0 baseball games this year and number1 were at night . the team won most of their games . they were defeated during number2 games . how many games did they win ?,- number0 number2,15.0,18.0 2.0 3.0
"Sam had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",- + number0 number1 number2,34.0,40.0 23.0 29.0
"Keith found number0 seashells , Jessica found number1 seashells , and Tim found number2 seashells on the beach . When they cleaned them , they discovered that number3 were cracked . How many seashells did they find together ?",+ + number0 number1 number2,21,6.0 8.0 7.0 3.0
Lewis saved checking on the grapevines for his last stop . He was told by one of the pickers that they fill number0 drums of grapes per day . How many drums of grapes would be filled in number1 days ?,* number0 number1,2916.0,324.0 9.0
Mrs. Hilt wants to make a border around her garden . She needs number0 rocks to complete the border . She has number1 rocks . How many more rocks does she need to complete the border ?,- number0 number1,61.0,125.0 64.0
after paying $ number0 for a drink bryon has $ number1 . how much money did he have before buying the drink ?,+ number0 number1,19.45,2.3 17.15
Alyssa picked number0 plums and Jason picked number1 plums . Melanie picked number2 pears . How many plums were picked in all ?,+ number0 number1,27,17.0 10.0 35.0
There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today . How many short trees will the park have when the workers are finished ?,+ number0 number2,98,41.0 44.0 57.0
"Luke was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?",/ + number0 number2 number0,4.0,3.0 3.0 9.0
Mikey had number0 leaves . Some of her leaves blew away . Now she has number1 leaves left . How many of her leaves blew away ?,- number0 number1,244.0,356.0 112.0
mrs. wong had number0 valentines . she gave number1 valentines to her children . how many does she have left ?,- number0 number1,22.0,30.0 8.0
"For Halloween Emily received number0 pieces of candy from neighbors and number1 pieces from her older sister . If she only ate number2 pieces a day , how long would the candy last her ?",/ + number0 number1 number2,2.0,5.0 13.0 9.0
Edward and his friend were buying trick decks from the magic shop for number0 dollars each . How much did they spend if Edward bought number1 decks and his friend bought number2 decks ?,* + number0 number1 number0,54.0,6.0 3.0 6.0
"While on vacation , Rachel took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",- + number0 number1 number2,4.0,6.0 9.0 11.0
tom bought number0 tickets at the state fair . he spent number1 tickets at the 'dunk a clown ' booth and decided to use the rest on rides . if each ride cost number2 tickets how many rides could he go on ?,/ - number0 number1 number2,7.0,63.0 14.0 7.0
There are number0 fishbowls . Each fishbowl has number1 fish . How many fish are there ?,* number0 number1,6003.0,261.0 23.0
there are number0 rose bushes and number1 oak trees currently in the park . park workers will plant more rose bushes today . when the workers are finished there will be number2 rose bushes in the park . how many rose bushes did the workers plant today ?,- number2 number0,65.0,33.0 37.0 98.0
a company invited number0 people to a luncheon but number1 of them did n't show up . if the tables they had held number2 people each how many tables do they need ?,/ - number0 number1 number2,6.0,68.0 50.0 3.0
debby bought number0 bottles of water when they were on sale . if she drank number1 bottles a day how many days would they last her ?,/ number0 number1,71.0,355.0 5.0
roger went to the movies number0 times last year and number1 times this year . how many times did roger go to the movies all together ?,+ number0 number1,18.0,15.0 3.0
Joan grew number0 carrots and number1 watermelons . Jessica grew number2 carrots . How many carrots did they grow in all ?,+ number0 number2,40,29.0 14.0 11.0
